,Kod,Name
4229,32.50.12,Стерилизаторы хирургические или лабораторные
4230,10.71.12,"Изделия мучные кондитерские, торты и пирожные недлительного хранения"
4231,20.16.59.140,Смолы масляно-стирольные в первичных формах
4232,10.82.23.161,Халва кунжутная (тахинная)
4233,10.89.11.113,Супы и бульоны грибные сухие
4234,22.19.40.121,Ремни приводные прорезиненные плоские
4235,28.41.32.130,Машины вырубные металлообрабатывающие
4236,25.99.99.216,Услуги по изготовлению электроводонагревателей по индивидуальному заказу населения
4237,45.20.21.113,Услуги смазочно-заправочные
4238,45.20.11.115,Услуги регулировки тормозной системы
4239,31.09.99.212,Услуги по изготовлению плетеной мебели по индивидуальному заказу населения
4240,45.19.31,Услуги по розничной торговле прочими автотранспортными средствами через информационно-коммуникационную сеть Интернет
4241,24.10.21.140,Полуфабрикаты круглого или многоугольного сечения из нелегированной стали
4242,46.23,Услуги по оптовой торговле живыми животными
4243,24.20.11,Трубы стальные для нефте- и газопроводов бесшовные
4244,24.43.23.140,Плиты и листы цинковые
4245,25.12.99,"Услуги по производству дверей и окон из металлов отдельные, выполняемые субподрядчиком"
4246,28.23.23,Машины офисные прочие
4247,28.29.11.120,Газогенераторы ацетиленовые и аналогичные
4248,02.20.11.111,Бревна сосновые для распиловки и строгания
4249,28.24.99,"Услуги по производству ручных механизированных инструментов отдельные, выполняемые субподрядчиком"
4250,24.45.30.116,Сплавы на основе вольфрама
4251,25.50.13,Услуги по прочим способам формоизменения металлов
4252,25.72.14.110,"Петли, арматура крепежная, фурнитура и аналогичные изделия для автотранспортных средств из недрагоценных металлов"
4253,25.73.40.150,Развертки
4254,25.73.30.155,Крейцмейсели
4255,28.30.86.120,"Оборудование для садоводства, не включенное в другие группировки"
4256,06.10.10.173,Нефть сырая особо высокосернистая особо легкая нефтяных оторочек
4257,25.73.30.241,Чертилки
4258,17.23.13.196,Тетради различного назначения
4259,28.96.9,"Услуги по производству оборудования для обработки резины и пластмасс отдельные, выполняемые субподрядчиком"
4260,28.94.2,"Оборудование прочее для текстильного и швейного производства, в том числе швейные машины"
4261,07.29.15.170,Концентраты оловянные
4262,07.29.19.121,Руды хромовые (хромитовые)
4263,10.13.91.000,Услуги по тепловой обработке и прочим способам переработки мясной пищевой продукции
4264,31.09.12.139,Мебель деревянная для столовой и гостиной прочая
4265,20.16.59.150,Полимеры винилнафталина в первичных формах
4266,10.82.23.132,Драже с карамельным корпусом
4267,20.42.16,"Шампуни, лаки для волос, средства для завивки или распрямления волос"
4268,22.21.1,"Мононити с размером поперечного сечения более 1 мм; прутки, стержни и фасонные профили пластмассовые"
4269,38.12.27.000,"Отходы и лом первичных элементов, батарей первичных элементов и электрических аккумуляторов"
4270,20.60.14,Мононити синтетические; нити ленточные и аналогичные плоские нити из синтетических текстильных материалов
4271,71.12.15.000,Услуги по инженерно-техническому проектированию заводов по переработке промышленных и твердых бытовых отходов (опасных и неопасных)
4272,22.29.21,"Плиты, листы, пленка, лента и прочие плоские полимерные самоклеящиеся формы, в рулонах шириной не более 20 см"
4273,77.31,Услуги по аренде и лизингу сельскохозяйственных машин и оборудования
4274,12.00.20.120,Отходы табачных продуктов
4275,01.11.49.133,Зерноотходы чумизы
4276,01.11.81.120,Бобы соевые для переработки
4277,01.11.79.190,"Культуры зернобобовые (овощи бобовые сушеные) прочие, не включенные в другие группировки"
4278,24.10.12.130,Силикомарганец
4279,24.10.62.110,"Сталь кованая из нелегированных сталей, без дополнительной обработки"
4280,01.28.13.120,Мацис необработанный
4281,28.12.14.120,Пневмоклапаны
4282,01.30.10.114,Клубнелуковицы гладиолусов
4283,28.15.21.190,Цепи шарнирные прочие из черных металлов
4284,28.22.18.252,Разгрузчики для животноводческих ферм
4285,28.23.23.000,Машины офисные прочие
4286,15.20.32.120,Обувь различная специальная
4287,28.25.2,"Вентиляторы, кроме настольных, напольных, настенных, оконных, потолочных или вентиляторов для крыш"
4288,28.30.86,"Оборудование для сельского хозяйства, садоводства, лесного хозяйства, птицеводства или пчеловодства, не включенное в другие группировки"
4289,14.31.10.130,Изделия чулочно-носочные детские из хлопчатобумажной и смешанной пряжи (смеси хлопковой пряжи с другими волокнами) трикотажные или вязаные
4290,26.51.42.120,Осциллографы электронно-лучевые
4291,08.11.3,Мел и некальцинированный доломит
4292,30.20.40.144,"Комплектующие (запасные части) транспортных средств, предназначенных для технического обслуживания или ремонта железнодорожных путей, не имеющие самостоятельных группировок"
4293,20.13.65.326,Соли лютеция
4294,20.13.32.130,Перхлораты
4295,20.14.19.150,Производные галогенированные ароматических углеводородов
4296,32.99.30.120,Изделия из текстильных материалов аналогичные
4297,20.14.41.110,"Моноамины ациклические и их производные, соли этих соединений"
4298,20.14.8,"Щелоки, остающиеся при производстве целлюлозы, кроме таллового масла"
4299,32.50.42.110,Очки для коррекции зрения
4300,10.82.23.180,Пастила
4301,38.32.24.120,Стружка никеля и никелевых сплавов
4302,20.60.1,Волокна синтетические
4303,20.59.52.191,Стандарт-титры
4304,21.10.40.110,"Сахара химически чистые, не включенные в другие группировки"
4305,22.19.30.137,Рукава пожарные напорные прорезиненные из синтетических нитей
4306,20.13.24.143,Цианид водорода (кислота цианисто-водородная)
4307,22.21.21.130,"Трубки, шланги и рукава полимерные жесткие"
4308,49.39.2,"Услуги по пассажирским перевозкам фуникулерами, подвесными канатными дорогами и лыжными подъемниками"
4309,58.11.6,Услуги по предоставлению лицензий на использование книг
4310,71.11.41,Услуги в области ландшафтной архитектуры
4311,50.20.13.120,Услуги по каботажным перевозкам других жидкостей или газов наливными (специализированными) судами
4312,72.11.1,"Услуги, связанные с научными исследованиями и экспериментальными разработками в области биотехнологии в области здоровья, окружающей среды, сельского хозяйства и прочей биотехнологии"
4313,86.90.15,Услуги медицинских лабораторий
4314,26.70.99.000,"Услуги по производству оптических приборов и фотографического оборудования отдельные, выполняемые субподрядчиком"
4315,01.42.13.122,Молодняк мясного крупного рогатого скота живой племенной
4316,24.20.12.120,Трубы насосно-компрессорные бесшовные стальные
4317,24.53.10.000,Услуги по литью легких металлов
4318,13.95.10.129,Ватины нетканые прочие
4319,24.54.10,Услуги по литью прочих цветных металлов
4320,28.22.17.115,Конвейеры роликовые
4321,23.63.99.000,"Услуги по производству товарного бетона отдельные, выполняемые субподрядчиком"
4322,28.30.51,"Косилки (включая устройства режущие для установки на тракторе), не включенные в другие группировки"
4323,25.12.99.000,"Услуги по производству дверей и окон из металлов отдельные, выполняемые субподрядчиком"
4324,16.29.23.120,Плитки любой формы из агломерированной пробки
4325,26.51.52.120,Приборы для измерения или контроля уровня жидкостей и газов
4326,15.11.42.000,Кожа из шкур коз и шкурок козлят без волосяного покрова
4327,07.29.15,"Руды и концентраты свинца, цинка и олова"
4328,15.20.40.120,"Стельки вкладные, подпятники и аналогичные изделия"
4329,06.10.10.315,Нефть смесевая малосернистая битуминозная
4330,14.31.10.132,Чулки детские из хлопчатобумажной пряжи
4331,10.39.25,Фрукты переработанные и консервированные
4332,28.22.19.164,Ловители лифтов
4333,08.93.10.113,Соль молотая
4334,20.14.32.120,"Кислота уксусная, ее соли и сложные эфиры"
4335,32.91.12.120,Щетки для волос
4336,37.00.12.120,Услуги по обработке туалетов с химической стерилизацией
4337,10.11.42.110,Шкуры и кожи крупного рогатого скота целые сырые
4338,23.61.12.115,Сваи железобетонные
4339,21.20.10.118,"Препараты, способствующие пищеварению, включая ферментные препараты"
4340,20.14.34.250,"Кислота фенилгликолевая (миндальная кислота), ее соли и сложные эфиры"
4341,49.31.21.190,Услуги по внутригородским и пригородным пассажирским перевозкам прочим сухопутным транспортом
4342,46.46.12,"Услуги по оптовой торговле хирургическими, ортопедическими инструментами и приборами, применяемыми в медицинских целях"
4343,77.31.1,Услуги по аренде и лизингу сельскохозяйственных машин и оборудования
4344,59.12.1,Услуги по редактированию отснятых материалов кинофильмов и видеофильмов и по компоновке телевизионных программ
4345,74.20.12,"Фотопластинки и фотопленки, экспонированные и проявленные, для полиграфического воспроизведения"
4346,74.20.11,"Фотопластинки и фотопленки, экспонированные, но не проявленные"
4347,66.19.99.120,Услуги по обработке наличных денег
4348,13.20.11.123,Ткани прозрачные из шелковых нитей или пряжи с массовой долей шелка не менее 85 %
4349,13.20.41.120,Ткани синельные (кроме тканей махровых полотенечных и узких тканей)
4350,27.31.12,"Волокна оптические и жгуты волоконно-оптические; кабели волоконно-оптические, кроме составленных из волокон с индивидуальными оболочками"
4351,28.13.11.120,Насосы смазочные (лубрикаторы)
4352,81.10.1,Услуги по комплексному обслуживанию помещений
4353,27.31.12.110,Волокна оптические и жгуты волоконно-оптические
4354,24.20.22,"Трубы обсадные и насосно-компрессорные трубы, используемые для бурения нефтяных или газовых скважин, сварные, наружным диаметром более 406,4 мм, стальные"
4355,14.19.23.210,"Детали одежды или аксессуаров одежды из текстильных материалов, кроме трикотажных или вязаных, не включенные в другие группировки"
4356,28.49.23.199,"Оснастка специальная технологическая для станков прочая, не включенная в другие группировки"
4357,03.11.12.153,Акула серая и серо-голубая живая
4358,03.11.12.193,Рыба-меч живая
4359,10.11.32,"Свинина замороженная, в том числе для детского питания"
4360,16.10.10.132,Шпалы деревянные для железных дорог узкой колеи непропитанные
4361,03.12.12.159,Рыба сиговая прочая живая
4362,08.12.11,Пески природные
4363,25.73.40.271,Резцы из быстрорежущей стали
4364,28.92.28.120,Отвалы бульдозеров поворотные
4365,17.12.41,Крафт-лайнер немелованный; крафт-бумага мешочная крепированная или гофрированная
4366,25.73.30.181,Коловороты
4367,32.40.39.121,Наборы для проведения опытов по разным отраслям знаний без механизмов
4368,10.41.52,"Масло арахисовое и его фракции рафинированные, но не подвергнутые химической модификации"
4369,38.32.24.110,Лом и кусковые отходы никеля и никелевых сплавов
4370,95.29.11.110,Услуги по ремонту верхней одежды
4371,95.25.11.124,Услуги по ремонту корпусов часов
4372,22.11.2,Шины и покрышки пневматические резиновые восстановленные
4373,10.13.14.817,Изделия кулинарные мясные рубленые замороженные
4374,10.13.14.513,Студни мясные
4375,55.90.13,Услуги по предоставлению мест для временного проживания в железнодорожных спальных вагонах и прочих транспортных средствах
4376,63.1,"Услуги по обработке данных, размещению и взаимосвязанные услуги; порталы в информационно-коммуникационной сети Интернет"
4377,73.11.1,"Услуги, предоставляемые рекламными агентствами"
4378,97.00.10,Услуги домашних хозяйств с наемными работниками
4379,73.12.19.000,Услуги по продаже прочего места или времени для рекламы за вознаграждение или на договорной основе
4380,66.30.12,Услуги по управлению пенсионными фондами
4381,41.20.20.290,"Здания нежилые, не включенные в другие группировки"
4382,77.39.14.000,Услуги по аренде и лизингу телекоммуникационного оборудования
4383,80.10.12,Услуги охраны
4384,13.10.61.132,Пряжа хлопчатобумажная однониточная гребенная суровая для трикотажного производства
4385,13.10.72.111,Пряжа из джута
4386,13.10.82.110,Пряжа из синтетических штапельных волокон с массовой долей полиамидных или армидных волокон не менее 85 %
4387,13.10.82.121,Пряжа однониточная из синтетических штапельных волокон с массовой долей полиэфирных волокон не менее 85 %
4388,27.12.22.000,Выключатели автоматические на напряжение не более 1 кВ
4389,01.11.42.120,Семена проса
4390,01.23.19.000,Плоды цитрусовых культур прочие
4391,01.25.34,Фисташки
4392,01.25.19.120,Смородина красная
4393,24.10.12.150,Ферровольфрам
4394,27.90.52.000,Конденсаторы постоянной емкости прочие
4395,14.12.2,Спецодежда женская
4396,24.42.24.120,"Полосы и ленты алюминиевые толщиной более 0,2 мм"
4397,02.10.11,"Сеянцы, саженцы деревьев и кустарников"
4398,28.15,"Подшипники, зубчатые колеса, зубчатые передачи и элементы приводов"
4399,01.49.19.472,Шелкопряд тутовый
4400,14.19.11.132,Рейтузы и изделия чулочно-носочные для детей младшего возраста трикотажные или вязаные из шерсти или тонкого волоса животных
4401,28.24.11.000,Инструменты ручные электрические
4402,25.21.13,Части водогрейных котлов центрального отопления
4403,02.30.20,"Пробка натуральная, необработанная или прошедшая первичную обработку"
4404,03.12,"Рыба и прочая продукция пресноводного рыболовства; услуги, связанные с пресноводным рыболовством"
4405,15.20.4,"Детали обуви из кожи; вкладные стельки, подпяточники и аналогичные изделия; гетры, гамаши и аналогичные изделия и их детали"
4406,30.11.33.190,Суда прочие
4407,17.11.14.120,Полуцеллюлоза древесная
4408,08.91.19.190,"Сырье минеральное для химических производств и продукты горнодобывающих производств прочие, не включенные в другие группировки"
4409,30.92.10.111,Велосипеды транспортные для взрослых
4410,20.14.33.472,Соли фумаровой кислоты
4411,32.50.22.121,Аппараты верхних конечностей
4412,21.20.23.190,Препараты фармацевтические прочие
4413,10.41.29.149,Масло тунговое и его фракции нерафинированные
4414,10.61.24,Смеси для приготовления хлебобулочных и мучных кондитерских изделий
4415,10.82.23.230,Лукумы
4416,20.14.12.220,Углеводороды ароматические с двумя или более сконденсированными бензольными кольцами
4417,93.19.19,Услуги в области спорта и отдыха прочие
4418,46.18.19.120,Услуги по оптовой торговле древесным сырьем и необработанными лесоматериалами за вознаграждение или на договорной основе
4419,46.52.1,Услуги по оптовой торговле электронным и телекоммуникационным оборудованием и его частями
4420,66,"Услуги вспомогательные, связанные с услугами финансового посредничества и страхования"
4421,47.79,Услуги по розничной торговле бывшими в употреблении товарами в магазинах
4422,49.10.19,Услуги железнодорожного транспорта по перевозке пассажиров в междугородном и международном сообщении прочие
4423,66.19.91.000,Услуги по финансовым консультациям
4424,47.65.10,Услуги по розничной торговле играми и игрушками в специализированных магазинах
4425,61.90.10.191,Услуги телеграфной связи
4427,13.10.10.120,Ланолин
4428,82.30.1,Услуги по организации конференций и торговых выставок
4429,86.21,Услуги в области общей врачебной практики
4430,01.11.32.110,Рожь озимая
4431,26.70.24.000,"Части и принадлежности биноклей, монокуляров и прочих оптических телескопов, прочих астрономических приборов и оптических микроскопов"
4432,13.10.84.110,"Пряжа с массовой долей вискозных или высокомодульных вискозных волокон не менее 85 %, не расфасованная для розничной продажи"
4433,13.20.11.140,Ткани из шелкового гребенного очеса
4434,13.20.13.132,Ткани льняные одежные
4435,27.20.21.000,Аккумуляторы свинцовые для запуска поршневых двигателей
4436,23.9,Продукция минеральная неметаллическая прочая
4437,28.11.12.110,Двигатели судовые с искровым зажиганием
4438,25.61.22.111,Услуги по окрашиванию металлов
4439,24.41.30.143,Иридий полуобработанный
4440,28.12.14.111,Гидроклапаны давления
4441,14.20.10.440,Бекеши нагольные овчинно-шубные
4442,01.45.11,Овцы живые
4443,03.11.20.123,Сайда свежая или охлажденная
4444,15.20.11,"Обувь водонепроницаемая на подошве и с верхом из резины или пластмассы, кроме обуви с защитным металлическим подноском"
4445,16.10.23.111,Щепа технологическая
4446,26.12.99,"Операции процесса производства смонтированных электронных плат отдельные, выполняемые субподрядчиком"
4447,03.22,"Рыба и прочая продукция пресноводного рыбоводства; услуги, связанные с пресноводным рыбоводством"
4448,05.10.10.121,Уголь коксующийся марки ГЖО - газовый жирный отощенный
4449,29.10.42.122,"Автосамосвалы с бензиновым двигателем, имеющие технически допустимую максимальную массу свыше 3,5 т, но не более 12 т"
4450,08.91.12,Пириты необожженные (колчедан серный необожженный); сера сырая или нерафинированная (неочищенная)
4451,08.99.2,"Камни драгоценные и полудрагоценные; алмазы технические, необработанные, распиленные, расколотые или грубо обработанные; пемза; наждак; корунд природный, гранат природный и прочие природные абразивы; минералы прочие"
4452,29.32.30.231,Кузова (кабины)
4453,19.20.41,Вазелин (петролатум); парафин; воск нефтяной прочий
4454,06.10.10.340,Нефть смесевая особо высокосернистая
4455,08.93.1,"Соль и хлорид натрия чистый, вода морская"
4456,32.30.15.240,Бассейны плавательные и бассейны для гребли
4457,21.10.51.125,"Комплекс витаминов группы В, включая комбинации с другими препаратами"
4458,10.84.12.180,Хрен готовый
4459,11.01.10.120,Изделия ликеро-водочные крепкие крепостью 30 % и выше
4460,10.51.54.112,Сахар молочный рафинированный
4461,32.40.39,"Игры и игрушки, не включенные в другие группировки"
4462,10.41.29.146,Масло сафлоровое и его фракции нерафинированные
4463,28.22.14.121,Краны мостовые электрические
4464,32.99.56.162,Изделия художественного ручного вязания
4465,10.61.32.134,Гранулы из риса
4466,37.00.1,Услуги по удалению сточных отходов
4467,21.10.31.120,"Соединения гетероциклические только с гетероатомом (атомами) азота, содержащие неконденсированное пиразольное кольцо, пиримидиновое кольцо, пиперазиновое кольцо, неконденсированное триазиновое кольцо или фенотиазиновую кольцевую систему без дальнейшей конденсации"
4468,36.00.20.140,Услуги по техническому обслуживанию приборов учета расхода воды
4469,10.71.11.110,Хлеб недлительного хранения
4470,46.77.10,Услуги по оптовой торговле отходами и ломом
4471,43.99.50,Работы по монтажу стальных строительных конструкций
4472,46.69.1,Услуги по оптовой торговле прочими машинами и оборудованием
4473,50.40.19,Услуги по перевозке грузов внутренним водным транспортом прочие
4474,52.23.12,Услуги по управлению воздушным движением
4475,59.20.31.190,Издания нотные печатные прочие
4476,63.11.21,Услуги по передаче потокового видео
4477,66.11.11,"Услуги, связанные с организацией функционирования финансовых рынков"
4478,68.10.14,Услуги по покупке и продаже нежилых зданий и занимаемых ими земельных участков
4479,71.20.13.120,"Услуги, связанные с летными испытаниями авиационной, ракетной и космической техники"
4480,86.10.14.110,"Услуги, оказываемые врачами психиатрических больниц"
4481,82.30,Услуги по организации конференций и торговых выставок
4482,82.92.10.000,Услуги по упаковыванию
4483,13.10.24,"Шерсть и волос животных тонкий или грубый, подвергнутые кардо- или гребнечесанию"
4484,13.10.85.120,Пряжа из искусственных и синтетических нитей и волокон
4485,13.20.13.141,Ткани чистольняные полотенечные
4486,13.20.31.130,"Ткани готовые с массовой долей синтетических нитей менее 85 %, смешанных в основном или исключительно с хлопком"
4487,28.12.12.114,Гидромоторы аксиально-поршневые и аксиально-кулачковые
4488,28.12.13.110,Насосы гидравлические шестеренные
4489,01.47.11.310,Куры яичных пород промышленного стада взрослые
4490,14.12.1,Спецодежда мужская
4491,14.13.13.130,"Плащи, плащи с капюшонами женские или для девочек трикотажные или вязаные"
4492,24.20.13.130,Трубы стальные электросварные
4493,28.15.21,Цепи шарнирные из черных металлов
4494,14.20.10.675,Носки женские нагольные
4495,16.10.10.110,Пиломатериалы хвойных пород
4496,25.99.1,Металлоизделия для ванной и кухни
4497,29.31.10.000,"Комплекты проводов системы зажигания и прочие комплекты проводов, используемые в наземных, воздушных или водных транспортных средствах"
4498,29.31.22.120,Генераторы для транспортных средств прочие
4499,30.20.31.114,"Машины для уплотнения, выправки, подбивки и рихтовки путей"
4500,06.10.10.164,Нефть сырая высокосернистая битуминозная материковых месторождений
4501,10.11.50.131,Жир бараний пищевой
4502,31.09.12.124,Тумбы деревянные для спальни
4503,32.12.12.121,Крошка и порошки из природных алмазов
4504,32.30.15.118,Инвентарь для городошного спорта
4505,32.40.39.165,"Игрушки спортивные металлические механические (заводные, инерционные, пружинные, рычажные)"
4506,10.41.29.117,Масло буковое и его фракции нерафинированные
4507,20.14.71.160,Масло сосновое и аналогичные продукты
4508,10.41.57,"Масло пальмовое и его фракции рафинированные, но не подвергнутые химической модификации"
4509,10.73.11.130,Лапша
4510,38.22.19.000,Услуги по переработке прочих опасных отходов
4511,10.82.22.142,"Конфеты, глазированные шоколадной и шоколадно-молочной глазурью, с ликерными, молочными и фруктовыми корпусами"
4512,32.99.21.110,Зонты от дождя и солнца
4513,28.30.59.112,Жатки рядковые
4514,08,Продукция горнодобывающих производств прочая
4515,96.09.19.122,"Услуги салонов татуировок, салонов пирсинга"
4516,10.12.50.300,Кожа птицы
4518,53.10.19,Услуги почтовой связи общего пользования прочие
4519,50.10.19.112,Услуги по заграничным перевозкам пассажиров морскими судами прочие на нерегулярной основе
4520,77.12.19,Услуги по аренде и лизингу прочих сухопутных транспортных средств и оборудования без водителя
4521,47.25.11.000,"Услуги по розничной торговле алкогольными напитками, кроме пива, в специализированных магазинах"
4522,58.11.50,Услуги по изданию книг за вознаграждение или на договорной основе
4523,84.11.11.130,"Услуги, предоставляемые исполнительными органами государственной власти субъектов Российской Федерации, по вопросам общего характера"
4524,61.9,Услуги телекоммуникационные прочие
4525,86.10.13,Услуги центров реабилитации
4526,13.10.82.111,Пряжа однониточная из синтетических штапельных волокон с массовой долей полиамидных или армидных волокон не менее 85 %
4527,13.20.32.190,Ткани готовые из синтетических штапельных волокон прочие
4528,13.3,Услуги по отделке пряжи и тканей
4529,13.92.12.110,Белье постельное из хлопчатобумажных тканей
4530,01.26.12,Оливки для производства оливкового масла
4531,24.10.33,"Прокат листовой горячекатаный из нержавеющих сталей, без дополнительной обработки, шириной не менее 600 мм"
4532,01.27.12.120,Лист зеленого чая грубый
4533,13.99.19,"Материалы и изделия текстильные прочие, не включенные в другие группировки"
4534,24.2,"Трубы, профили пустотелые и их фитинги стальные"
4535,28.22.14.169,Краны-штабелеры прочие
4536,14.19.23.120,"Шали, шарфы, вуали, кроме трикотажных или вязаных"
4537,24.41.20.140,"Золото, используемое для чеканки монет"
4538,02.40.10.114,Услуги по противопожарному обустройству лесов и тушению пожаров в лесах
4539,28.25.14.126,Каплеуловители
4540,28.92.12.110,Машины врубовые (комбайны) для добычи угля и горных пород
4541,14.39.10,"Джемперы, пуловеры, кардиганы, жилеты и аналогичные изделия трикотажные или вязаные"
4542,03.12.2,"Рыба пресноводная свежая или охлажденная, не являющаяся продукцией рыбоводства"
4543,28.93.13.131,Машины шелушильные
4544,26.20.14,"Машины вычислительные электронные цифровые, поставляемые в виде систем для автоматической обработки данных"
4545,19.20.27.110,Топливо нефтяное дистиллятное прочее
4546,28.99.11.112,Машины листорезальные
4547,29.31.23.120,"Стеклоочистители, антиобледенители и антизапотеватели для транспортных средств и мотоциклов"
4548,32.30.16,"Удочки рыболовные, прочие рыболовные снасти; инвентарь для спортивных охоты и рыболовства, не включенный в другие группировки"
4549,20.1,"Вещества химические основные, удобрения химические и азотные, пластмассы и синтетический каучук в первичных формах"
4550,32.40.39.157,"Игрушки металлические транспортные, технические (в том числе игрушечные сооружения) электротехнические, не включенные в другие группировки"
4551,10.41.59.127,Масло кориандровое жирное и его фракции рафинированные
4552,20.15.60,Нитрат натрия
4553,32.40.41,Карты игральные
4554,32.99.4,"Зажигалки, трубки и их части; изделия из горючих материалов; жидкое или сжиженное газовое топливо"
4555,10.52.10.181,Торты из мороженого
4556,20.30.22.231,Фольга для горячего тиснения бронзовая порошковая
4557,10.82.22.132,Конфеты шоколадные с начинкой между слоями вафель
4558,33.17.1,Услуги по ремонту и техническому обслуживанию прочих транспортных средств и оборудования
4559,10.86.10.611,Колбасы вареные для детского питания
4560,38.11.41,"Суда и средства плавучие прочие, предназначенные на слом"
4561,21.20.21.121,"Вакцины бактериальные живые профилактические, применяемые в медицине"
4562,10.51.40.344,Творог (кроме зерненого и произведенного с использованием ультрафильтрации и сепарирования) с вкусовыми компонентами обезжиренный от 12 % до 18 % жирности
4563,28.29.12.152,Фильтры предварительной очистки технологических растворов
4564,43.34,Работы малярные и стекольные
4565,93.13.1,Услуги фитнес-центров
4566,66.29.11,Услуги актуариев
4567,46.73.12.000,Услуги по оптовой торговле пиломатериалами
4568,64.99.19.110,Услуги по капиталовложениям в ценные бумаги
4569,71.12.17.000,Услуги по инженерно-техническому проектированию производственных процессов и производств
4570,43.29.11.120,"Работы по теплоизоляции трубопроводов для подачи горячей или охлажденной воды, котлов и трубных разводок"
4571,13.10.50,"Пряжа шерстяная, расфасованная или не расфасованная для розничной продажи; пряжа из тонкого или грубого волоса животных или конского волоса"
4572,26.70.24,"Части и принадлежности биноклей, монокуляров и прочих оптических телескопов, прочих астрономических приборов и оптических микроскопов"
4573,23.32.13.112,Трубы керамические дренажные
4574,01.13.19.000,Овощи листовые или стебельные прочие
4575,23.70.11.120,"Травертин обработанный и изделия из него (кроме брусчатки, камня бордюрного, плиты тротуарной, плит, блоков и аналогичных изделий)"
4576,27.51.13.110,Машины стиральные бытовые
4577,13.96.17.133,"Материалы ленточные отделочные без вышивки, кроме трикотажных"
4578,13.92.13.111,Скатерти из хлопчатобумажных тканей
4579,24.32.1,"Прокат листовой холоднокатаный стальной, неплакированный, шириной менее 600 мм"
4580,14.12.30.132,"Юбки, халаты, блузки, фартуки, жилеты, платья и сорочки женские производственные и профессиональные"
4581,14.13.22,"Костюмы и комплекты мужские или для мальчиков из текстильных материалов, кроме трикотажных или вязаных"
4582,14.19.11.112,"Распашонки, ""кимоно"", кофточки для детей младшего возраста трикотажные или вязаные из шерсти или тонкого волоса животных"
4583,14.11.10.122,Куртки женские из кожи
4584,28.12.11,Двигатели гидравлические и пневматические линейного действия (цилиндры)
4585,24.41.20.110,Порошок золота
4586,24.41.40.120,"Серебро, плакированное золотом, необработанное или полуобработанное"
4587,01.70.10.000,"Услуги, связанные с охотой, ловлей и разведением диких животных"
4588,24.45.22.110,Прутки никелевые
4589,28.29.21,"Оборудование для мойки, заполнения, закупоривания или упаковывания бутылок или прочих емкостей"
4590,03.11.42.120,Мидии
4591,02.10.11.152,Сеянцы кустарников с закрытой корневой системой
4592,02.20.12.116,Бревна тополя для распиловки и строгания
4593,25.73.30.293,Лампы паяльные
4594,15.20.32.129,"Обувь специальная прочая, не включенная в другие группировки"
4595,26.40.12.000,"Радиоприемники широковещательные, не работающие без внешнего источника питания"
